scope,path,target,link_type,basis,confidence,source,source_reference
model-31-overlay,/dev/rtmp,/dev/rsmd3,hardlink,Zilog manual explicitly says names are linked to same file,documented,03-3246-04_ZeusAdmin_Oct83.pdf,3-3 (PDF 32)
model-31-overlay,/dev/rusr,/dev/rsmd0,hardlink,Zilog manual explicitly says names are linked to same file,documented,03-3246-04_ZeusAdmin_Oct83.pdf,3-3 (PDF 32)
model-31-overlay,/dev/rz,/dev/rsmd4,hardlink,Zilog manual explicitly says names are linked to same file,documented,03-3246-04_ZeusAdmin_Oct83.pdf,3-3 (PDF 32)
model-31-overlay,/dev/tmp,/dev/smd3,hardlink,Zilog manual explicitly says names are linked to same file,documented,03-3246-04_ZeusAdmin_Oct83.pdf,3-3 (PDF 32)
model-31-overlay,/dev/usr,/dev/smd0,hardlink,Zilog manual explicitly says names are linked to same file,documented,03-3246-04_ZeusAdmin_Oct83.pdf,3-3 (PDF 32)
model-31-overlay,/dev/z,/dev/smd4,hardlink,Zilog manual explicitly says names are linked to same file,documented,03-3246-04_ZeusAdmin_Oct83.pdf,3-3 (PDF 32)
model-31-overlay,/zeus,/zeus2_Y.Z,hardlink,Zilog manual explicitly says names are linked to same file,documented,03-3246-04_ZeusAdmin_Oct83.pdf,3-3 (PDF 32)
common-installed-snapshot,/bin/ex,/bin/edit,hardlink-candidate,"byte-identical regular files (68358 bytes, sha256 7b9cacbfd784ce1a9b54b46af8ac6cc543b978db0ce47a0a172fe8d99323da9d)",inferred,S8000-2.tar,content comparison; tar wrapper contains no link records
common-installed-snapshot,/bin/ln,/bin/cp,hardlink-candidate,"byte-identical regular files (9378 bytes, sha256 8b4fba9dedbff3ee9a86b0f36d2c02a3ef57ddf808a7170383e8886d3cf30172)",inferred,S8000-2.tar,content comparison; tar wrapper contains no link records
common-installed-snapshot,/bin/mv,/bin/cp,hardlink-candidate,"byte-identical regular files (9378 bytes, sha256 8b4fba9dedbff3ee9a86b0f36d2c02a3ef57ddf808a7170383e8886d3cf30172)",inferred,S8000-2.tar,content comparison; tar wrapper contains no link records
common-installed-snapshot,/bin/od,/bin/hd,hardlink-candidate,"byte-identical regular files (7526 bytes, sha256 e1421683115d9ee8ab23747cafb878b2cf3f527cec56fd68ae45a531aeee40ae)",inferred,S8000-2.tar,content comparison; tar wrapper contains no link records
common-installed-snapshot,/bin/page,/bin/more,hardlink-candidate,"byte-identical regular files (19204 bytes, sha256 340a876bb803e295bf9ffa0e633987553011cb094dc07af64072100b56d4d763)",inferred,S8000-2.tar,content comparison; tar wrapper contains no link records
common-installed-snapshot,/bin/rmail,/bin/mail,hardlink-candidate,"byte-identical regular files (18984 bytes, sha256 c927c2daff35e52cb6fa9904cfc20bdb9ab89d42b2adcca5f29890ab46bc93cf)",inferred,S8000-2.tar,content comparison; tar wrapper contains no link records
common-installed-snapshot,/bin/scc,/bin/cc,hardlink-candidate,"byte-identical regular files (15146 bytes, sha256 2aa5e8750f6f6bb6cf73286e57538928c57438d3abe5cbac136fddf7d14832a1)",inferred,S8000-2.tar,content comparison; tar wrapper contains no link records
common-installed-snapshot,/bin/sh,/bin/rsh,hardlink-candidate,"byte-identical regular files (24052 bytes, sha256 7e2084ca356afc22f9cdbbe3b858f8f711e330a9fd7a538363be414594b7d5d4)",inferred,S8000-2.tar,content comparison; tar wrapper contains no link records
common-installed-snapshot,/bin/vi,/bin/edit,hardlink-candidate,"byte-identical regular files (68358 bytes, sha256 7b9cacbfd784ce1a9b54b46af8ac6cc543b978db0ce47a0a172fe8d99323da9d)",inferred,S8000-2.tar,content comparison; tar wrapper contains no link records
common-installed-snapshot,/bin/view,/bin/edit,hardlink-candidate,"byte-identical regular files (68358 bytes, sha256 7b9cacbfd784ce1a9b54b46af8ac6cc543b978db0ce47a0a172fe8d99323da9d)",inferred,S8000-2.tar,content comparison; tar wrapper contains no link records
common-installed-snapshot,/etc/chog,/etc/chmog,hardlink-candidate,"byte-identical regular files (9984 bytes, sha256 da2979bd33ca7891fdcced5a234748b48bad732f43464a2859dcbc9a645b80b8)",inferred,S8000-2.tar,content comparison; tar wrapper contains no link records
common-installed-snapshot,/etc/taperrc,/etc/reservrc,hardlink-candidate,"byte-identical regular files (991 bytes, sha256 6a13025bfe95c7ee94f9f60028778029c9bc681f89790804d4bbb9a39221cf02)",inferred,S8000-2.tar,content comparison; tar wrapper contains no link records
common-installed-snapshot,/etc/umfs,/etc/mfs,hardlink-candidate,"byte-identical regular files (411 bytes, sha256 a860102e6c41a1bd0a61d92e1d430376c355fb40b71d92aadb40f2a85d7390be)",inferred,S8000-2.tar,content comparison; tar wrapper contains no link records
common-installed-snapshot,/usr/bin/dirname,/usr/bin/basename,hardlink-candidate,"byte-identical regular files (209 bytes, sha256 bfa74a465d9216b164b3cd426ab559891160be247a61ff75efadcdec959b0387)",inferred,S8000-2.tar,content comparison; tar wrapper contains no link records
common-installed-snapshot,/usr/bin/mvt,/usr/bin/mmt,hardlink-candidate,"byte-identical regular files (826 bytes, sha256 b1eec183c0465fbea460d90a42b8d10880f03910ea9d46719b7f80b163d042ee)",inferred,S8000-2.tar,content comparison; tar wrapper contains no link records
common-installed-snapshot,/usr/bin/taper,/usr/bin/reserv,hardlink-candidate,"byte-identical regular files (13404 bytes, sha256 17377a4996b94bda41e6814cd9df0fd0ea304bf9bcad412b4040198841e12b10)",inferred,S8000-2.tar,content comparison; tar wrapper contains no link records
common-installed-snapshot,/usr/lib/font/ftH,/usr/lib/font/ftG,hardlink-candidate,"byte-identical regular files (264 bytes, sha256 438fd26cf47b42b8b0e29c3940e890809749c1cee457300602af78f5be370691)",inferred,S8000-2.tar,content comparison; tar wrapper contains no link records
common-installed-snapshot,/usr/lib/font/ftHI,/usr/lib/font/ftGI,hardlink-candidate,"byte-identical regular files (264 bytes, sha256 4ef707f1967bd2c7503292bbce103cec57934d499e1a0be140c571a2f83c5043)",inferred,S8000-2.tar,content comparison; tar wrapper contains no link records
common-installed-snapshot,/usr/lib/font/ftUD,/usr/lib/font/ftFD,hardlink-candidate,"byte-identical regular files (264 bytes, sha256 95dc15c00c42417aeb5024b5ed7e0cca3bba15d03f6bd799f9bc11ef52208c18)",inferred,S8000-2.tar,content comparison; tar wrapper contains no link records
common-installed-snapshot,/usr/lib/term/tablp,/usr/lib/term/tab2631,hardlink-candidate,"byte-identical regular files (956 bytes, sha256 9082c624f23b3e0776425e37177033f15ed96f167ab9ccb91fefc08c239640e9)",inferred,S8000-2.tar,content comparison; tar wrapper contains no link records
common-installed-snapshot,/usr/lib/text_nf,/usr/lib/lp_nf,hardlink-candidate,"byte-identical regular files (19188 bytes, sha256 df8ec0552254a6390d190f648c5ba4c378b0e8d40a94eb7a96d652da764f7f17)",inferred,S8000-2.tar,content comparison; tar wrapper contains no link records
common-installed-snapshot,/usr/stand/boot,/usr/boot,hardlink-candidate,"byte-identical regular files (22786 bytes, sha256 9064564f79f97580fb1e3f517da3cb8fa529e07d31c904b64f8c4f3c401e320e)",inferred,S8000-2.tar,content comparison; tar wrapper contains no link records
